Action,Quantity,Fin Instrument,Price,Time,Date,
BOT,1100,HDFCLIFE NSE Sep29'22 @NSE,581.00,04:19:18,20220901,
BOT,475,GRASIM NSE Sep29'22 @NSE,1690.35,04:19:18,20220901,
BOT,300,HDFC NSE Sep29'22 @NSE,2416.90,04:19:19,20220901,
BOT,550,HDFCBANK NSE Sep29'22 @NSE,1475.20,04:19:19,20220901,
BOT,900,INDUSINDB NSE Sep29'22 @NSE,1120.65,04:19:20,20220901,
BOT,1000,GODREJCP NSE Sep29'22 @NSE,922.60,04:19:28,20220901,
BOT,1250,JINDALSTE NSE Sep29'22 @NSE,431.90,04:19:39,20220901,
BOT,350,COLPAL NSE Sep29'22 @NSE,1682.50,04:20:18,20220901,
BOT,1250,GUJGASLTD NSE Sep29'22 @NSE,489.25,04:24:04,20220901,
SLD,300,HDFCAMC NSE Sep29'22 @NSE,2063.55,04:27:41,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2318.60,04:28:31,20220901,
BOT,1250,CHOLAFIN NSE Sep29'22 @NSE,800.50,04:29:20,20220901,
BOT,2900,INDIACEM NSE Sep29'22 @NSE,227.95,04:33:12,20220901,
BOT,1500,CHAMBLFER NSE Sep29'22 @NSE,357.75,04:34:00,20220901,
SLD,1250,JINDALSTE NSE Sep29'22 @NSE,427.45,04:34:05,20220901,
SLD,1250,JINDALSTE NSE Sep29'22 @NSE,427.45,04:34:07,20220901,
BOT,1650,DLF NSE Sep29'22 @NSE,396.20,04:36:04,20220901,
SLD,550,ESCORTS NSE Sep29'22 @NSE,2001.50,04:37:30,20220901,
BOT,1800,BPCL NSE Sep29'22 @NSE,330.35,04:37:49,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2321.00,04:38:46,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2321.00,04:38:53,20220901,
BOT,4200,COALINDIA NSE Sep29'22 @NSE,233.60,04:42:38,20220901,
BOT,300,HDFCAMC NSE Sep29'22 @NSE,2074.95,04:44:15,20220901,
BOT,550,ESCORTS NSE Sep29'22 @NSE,2017.90,04:44:15,20220901,
BOT,550,ESCORTS NSE Sep29'22 @NSE,2017.90,04:44:15,20220901,
BOT,300,HDFCAMC NSE Sep29'22 @NSE,2074.95,04:44:16,20220901,
SLD,1650,DLF NSE Sep29'22 @NSE,393.80,04:49:14,20220901,
SLD,1650,DLF NSE Sep29'22 @NSE,393.80,04:49:15,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2321.85,04:59:31,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2321.85,04:59:32,20220901,
SLD,550,HDFCBANK NSE Sep29'22 @NSE,1482.35,05:09:00,20220901,
SLD,550,HDFCBANK NSE Sep29'22 @NSE,1482.35,05:09:00,20220901,
SLD,300,HDFC NSE Sep29'22 @NSE,2428.25,05:09:01,20220901,
SLD,300,HDFC NSE Sep29'22 @NSE,2428.25,05:09:02,20220901,
BOT,4022,INDHOTEL NSE Sep29'22 @NSE,294.50,05:16:07,20220901,
SLD,550,ESCORTS NSE Sep29'22 @NSE,2009.95,05:29:19,20220901,
SLD,550,ESCORTS NSE Sep29'22 @NSE,2009.95,05:29:20,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2324.65,05:31:21,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2324.65,05:31:23,20220901,
BOT,1650,DLF NSE Sep29'22 @NSE,394.50,05:42:10,20220901,
BOT,1650,DLF NSE Sep29'22 @NSE,394.50,05:42:10,20220901,
BOT,875,IRCTC NSE Sep29'22 @NSE,711.40,05:46:47,20220901,
SLD,1250,GUJGASLTD NSE Sep29'22 @NSE,486.80,05:47:12,20220901,
SLD,1250,GUJGASLTD NSE Sep29'22 @NSE,486.75,05:47:32,20220901,
BOT,550,ESCORTS NSE Sep29'22 @NSE,2019.00,05:47:37,20220901,
BOT,550,ESCORTS NSE Sep29'22 @NSE,2019.00,05:47:42,20220901,
BOT,300,HDFC NSE Sep29'22 @NSE,2434.60,05:52:01,20220901,
BOT,550,HDFCBANK NSE Sep29'22 @NSE,1486.00,05:52:03,20220901,
BOT,550,HDFCBANK NSE Sep29'22 @NSE,1486.00,05:52:03,20220901,
BOT,300,HDFC NSE Sep29'22 @NSE,2434.75,05:52:04,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2330.35,05:54:25,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2330.35,05:54:26,20220901,
BOT,1250,GUJGASLTD NSE Sep29'22 @NSE,484.90,05:58:12,20220901,
BOT,1250,GUJGASLTD NSE Sep29'22 @NSE,484.90,05:58:12,20220901,
SLD,550,ESCORTS NSE Sep29'22 @NSE,2003.05,06:08:27,20220901,
SLD,550,ESCORTS NSE Sep29'22 @NSE,2003.05,06:08:37,20220901,
SLD,1650,DLF NSE Sep29'22 @NSE,396.20,06:19:02,20220901,
SLD,1650,DLF NSE Sep29'22 @NSE,396.20,06:19:03,20220901,
BOT,975,CANFINHOM NSE Sep29'22 @NSE,636.40,06:22:45,20220901,
BOT,550,ESCORTS NSE Sep29'22 @NSE,2008.20,06:24:03,20220901,
BOT,550,ESCORTS NSE Sep29'22 @NSE,2008.20,06:24:04,20220901,
SLD,300,HDFC NSE Sep29'22 @NSE,2417.60,06:25:04,20220901,
SLD,300,HDFC NSE Sep29'22 @NSE,2417.60,06:25:04,20220901,
BOT,1650,DLF NSE Sep29'22 @NSE,397.90,06:36:02,20220901,
BOT,1650,DLF NSE Sep29'22 @NSE,397.90,06:36:02,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2310.90,06:36:21,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2310.90,06:36:22,20220901,
BOT,300,HDFC NSE Sep29'22 @NSE,2424.50,06:37:00,20220901,
BOT,300,HDFC NSE Sep29'22 @NSE,2424.70,06:37:01,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2311.90,06:47:08,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2311.90,06:47:08,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2323.85,06:49:02,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2323.85,06:49:03,20220901,
SLD,1650,DLF NSE Sep29'22 @NSE,397.35,06:51:01,20220901,
SLD,1650,DLF NSE Sep29'22 @NSE,397.35,06:51:06,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2325.00,06:59:07,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2325.00,06:59:18,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2331.50,07:06:03,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2331.50,07:06:12,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2328.95,07:15:11,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2328.90,07:15:11,20220901,
SLD,875,IRCTC NSE Sep29'22 @NSE,704.70,07:21:04,20220901,
SLD,875,IRCTC NSE Sep29'22 @NSE,704.70,07:21:19,20220901,
BOT,1650,DLF NSE Sep29'22 @NSE,398.45,07:23:05,20220901,
BOT,1650,DLF NSE Sep29'22 @NSE,398.45,07:23:05,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2330.45,07:29:40,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2330.45,07:29:47,20220901,
SLD,1650,DLF NSE Sep29'22 @NSE,396.35,07:30:06,20220901,
SLD,1650,DLF NSE Sep29'22 @NSE,396.35,07:30:15,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2326.50,07:44:39,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2326.50,07:44:44,20220901,
BOT,1650,DLF NSE Sep29'22 @NSE,399.30,08:12:01,20220901,
BOT,1650,DLF NSE Sep29'22 @NSE,399.30,08:12:01,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2333.45,08:17:17,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2333.50,08:17:18,20220901,
SLD,1650,DLF NSE Sep29'22 @NSE,397.05,08:18:52,20220901,
SLD,1650,DLF NSE Sep29'22 @NSE,397.05,08:18:52,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2325.20,08:24:04,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2325.20,08:24:04,20220901,
SLD,300,INFY NSE Sep29'22 @NSE,1457.50,08:28:10,20220901,
SLD,300,HDFC NSE Sep29'22 @NSE,2404.30,08:31:02,20220901,
SLD,300,HDFC NSE Sep29'22 @NSE,2404.25,08:31:02,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2322.70,08:40:02,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2322.80,08:40:03,20220901,
BOT,875,IRCTC NSE Sep29'22 @NSE,705.30,08:42:22,20220901,
BOT,875,IRCTC NSE Sep29'22 @NSE,705.30,08:42:22,20220901,
BOT,1650,DLF NSE Sep29'22 @NSE,396.45,08:44:04,20220901,
BOT,1650,DLF NSE Sep29'22 @NSE,396.45,08:44:04,20220901,
BOT,300,HDFC NSE Sep29'22 @NSE,2409.45,08:45:06,20220901,
BOT,300,HDFC NSE Sep29'22 @NSE,2409.45,08:45:07,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2318.60,08:47:08,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2318.25,08:47:09,20220901,
BOT,5000,CUB NSE Sep29'22 @NSE,181.60,09:06:01,20220901,
BOT,2700,CANBK NSE Sep29'22 @NSE,245.25,09:08:11,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2319.95,09:18:03,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2319.95,09:18:03,20220901,
SLD,1650,DLF NSE Sep29'22 @NSE,399.30,09:30:10,20220901,
SLD,1650,DLF NSE Sep29'22 @NSE,399.30,09:30:11,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2312.85,09:31:29,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2312.85,09:31:30,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2321.65,09:48:05,20220901,
BOT,475,HAL NSE Sep29'22 @NSE,2321.70,09:48:07,20220901,
SLD,1100,HDFCLIFE NSE Sep29'22 @NSE,576.20,09:57:59,20220901,
SLD,550,HDFCBANK NSE Sep29'22 @NSE,1476.80,09:57:59,20220901,
SLD,4200,COALINDIA NSE Sep29'22 @NSE,231.40,09:57:59,20220901,
SLD,1000,GODREJCP NSE Sep29'22 @NSE,925.45,09:57:59,20220901,
SLD,1250,DABUR NSE Sep29'22 @NSE,573.05,09:58:00,20220901,
SLD,2900,INDIACEM NSE Sep29'22 @NSE,228.95,09:58:00,20220901,
SLD,1250,GUJGASLTD NSE Sep29'22 @NSE,477.75,09:58:00,20220901,
SLD,975,CANFINHOM NSE Sep29'22 @NSE,646.85,09:58:00,20220901,
SLD,22500,GMRINFRA NSE Sep29'22 @NSE,38.70,09:58:01,20220901,
BOT,1650,DLF NSE Sep29'22 @NSE,400.00,09:58:01,20220901,
SLD,300,HDFC NSE Sep29'22 @NSE,2413.40,09:58:01,20220901,
SLD,5000,CUB NSE Sep29'22 @NSE,181.20,09:58:01,20220901,
SLD,650,CIPLA NSE Sep29'22 @NSE,1025.40,09:58:02,20220901,
BOT,1300,BSOFT NSE Sep29'22 @NSE,323.00,09:58:02,20220901,
SLD,3600,EXIDEIND NSE Sep29'22 @NSE,160.70,09:58:02,20220901,
SLD,475,GRASIM NSE Sep29'22 @NSE,1694.00,09:58:03,20220901,
BOT,5200,FSL NSE Sep29'22 @NSE,106.20,09:58:03,20220901,
SLD,6100,GAIL NSE Sep29'22 @NSE,136.80,09:58:03,20220901,
SLD,1500,CHAMBLFER NSE Sep29'22 @NSE,354.80,09:58:04,20220901,
SLD,1375,IGL NSE Sep29'22 @NSE,412.00,09:58:04,20220901,
SLD,4022,INDHOTEL NSE Sep29'22 @NSE,295.45,09:58:05,20220901,
SLD,900,INDUSINDB NSE Sep29'22 @NSE,1118.05,09:58:05,20220901,
SLD,300,HDFCAMC NSE Sep29'22 @NSE,2050.05,09:58:05,20220901,
SLD,1250,CHOLAFIN NSE Sep29'22 @NSE,795.00,09:58:06,20220901,
SLD,2700,CANBK NSE Sep29'22 @NSE,245.85,09:58:06,20220901,
SLD,475,HAL NSE Sep29'22 @NSE,2320.00,09:58:06,20220901,
SLD,3200,ITC NSE Sep29'22 @NSE,318.65,09:58:07,20220901,
SLD,1150,GLENMARK NSE Sep29'22 @NSE,369.70,09:58:07,20220901,
SLD,1800,BPCL NSE Sep29'22 @NSE,332.30,09:58:08,20220901,
SLD,2800,INDUSTOWE NSE Sep29'22 @NSE,200.75,09:58:08,20220901,
SLD,650,IPCALAB NSE Sep29'22 @NSE,892.55,09:58:08,20220901,
SLD,500,HAVELLS NSE Sep29'22 @NSE,1391.00,09:58:09,20220901,
BOT,1250,JINDALSTE NSE Sep29'22 @NSE,427.15,09:58:09,20220901,
BOT,300,INFY NSE Sep29'22 @NSE,1467.90,09:58:10,20220901,
SLD,550,ESCORTS NSE Sep29'22 @NSE,2018.10,09:58:10,20220901,
BOT,1300,GNFC NSE Sep29'22 @NSE,736.75,09:58:10,20220901,
SLD,875,IRCTC NSE Sep29'22 @NSE,706.55,09:58:10,20220901,
SLD,350,COLPAL NSE Sep29'22 @NSE,1686.50,09:58:11,20220901,
SLD,1075,HINDALCO NSE Sep29'22 @NSE,424.20,09:58:19,20220901,
SLD,4300,HINDCOPPE NSE Sep29'22 @NSE,116.55,09:58:19,20220901,
SLD,10000,IDFC NSE Sep29'22 @NSE,68.70,09:58:21,20220901,
SLD,700,HCLTECH NSE Sep29'22 @NSE,929.50,09:58:22,20220901,
SLD,1000,CONCOR NSE Sep29'22 @NSE,694.25,09:58:23,20220901,
BOT,9750,IOC NSE Sep29'22 @NSE,71.60,09:58:26,20220901,
SLD,10000,FEDERALBN NSE Sep29'22 @NSE,119.20,09:58:26,20220901,
SLD,1500,CROMPTON NSE Sep29'22 @NSE,405.50,09:58:27,20220901,
